scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0027197,0.007097,0.007097,9.2034125,space,9.1776999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,0,0,2,,,,,,,,,9.234107,,,,,,,,,9.2071481,9.234107,9.234107,9.234107,19.6239971,2,10.3938002,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,1,1,8,,,,,,,,,19.650017,,,,,,,,,19.6243879,19.650017,19.650017,19.650017,27.8287528,5,8.1774125,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans were meant to rule over the rest of nature.,,,,0,2,2,11,,,,,,,,,27.8540261,,,,,,,,,27.8290208,27.8540261,27.8540261,27.8540261,32.4150334,1,4.559382,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,3,3,9,,,,,,,,,32.4423634,,,,,,,,,32.415324,32.4423634,32.4423634,32.4423634,41.2588074,4,8.8143144,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Plants and animals have as much right as humans to exist.,,,,0,4,4,6,,,,,,,,,41.2842862,,,,,,,,,41.2590942,41.2842862,41.2842862,41.2842862,46.0568556,5,4.7713334,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,5,5,13,,,,,,,,,46.0825831,,,,,,,,,46.0571132,46.0825831,46.0825831,46.0825831,59.7219493,2,13.6399256,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,6,6,7,,,,,,,,,59.7467101,,,,,,,,,59.7223269,59.7467101,59.7467101,59.7467101,69.8121962,2,10.0653537,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The balance of nature is very delicate and easily upset.,,,,0,7,7,12,,,,,,,,,69.8366969,,,,,,,,,69.8124471,69.8366969,69.8366969,69.8366969,74.7721184,2,4.9342745,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The Earth is like a spaceship with very limited room and resources.,,,,0,8,8,10,,,,,,,,,74.7983084,,,,,,,,,74.772418,74.7983084,74.7983084,74.7983084,79.3429653,1,4.5448699,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans have the right to modify the natural environment to suit their needs.,,,,0,9,9,1,,,,,,,,,79.368903,,,,,,,,,79.343478,79.368903,79.368903,79.368903,83.6109327,4,4.2358003,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,10,10,5,,,,,,,,,83.641606,,,,,,,,,83.6112354,83.641606,83.641606,83.641606,89.0160048,4,5.379585,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,11,11,14,,,,,,,,,89.0418221,,,,,,,,,89.0162574,89.0418221,89.0418221,89.0418221,96.3530789,3,7.3123033,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,12,12,3,,,,,,,,,96.3797479,,,,,,,,,96.3533799,96.3797479,96.3797479,96.3797479,106.7567617,2,10.3797603,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
We are approaching the limit of the number of people the Earth can support.,,,,0,13,13,0,,,,,,,,,106.7799902,,,,,,,,,106.7570092,106.7799902,106.7799902,106.7799902,113.1425603,4,6.3623193,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans are seriously abusing the environment.,,,,0,14,14,4,,,,,,,,,113.1683239,,,,,,,,,113.1428156,113.1683239,113.1683239,113.1683239,116.9936938,4,3.8281789,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,"Ukraine-Russia War: The ongoing conflict between Russia and Ukraine continues to impact global geopolitics, energy markets, and food security.",,,,,,,0,0,0,0,,,,,117.0259642,,,,,,,,,,,,,,,,116.9968643,117.0259642,117.0259642,117.0259642,128.5155316,1,11.4928542,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
," Global Food Crisis: Several regions are facing food shortages and rising food prices due to factors like climate change, conflicts, and supply chain disruptions.??",,,,,,,0,1,1,4,,,,,128.541927,,,,,,,,,,,,,,,,128.5158706,128.541927,128.541927,128.541927,144.9383335,1,16.3935826,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,"Rise of Renewable Energy: Many countries are investing heavily in renewable energy sources like solar, wind, and hydro power to reduce reliance on fossil fuels and combat climate change.",,,,,,,0,2,2,1,,,,,144.9646987,,,,,,,,,,,,,,,,144.9387505,144.9646987,144.9646987,144.9646987,153.1084681,1,8.1430195,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,Global Economic Slowdown: Concerns are growing about a potential global economic slowdown as major economies like the US and China face economic challenges.,,,,,,,0,3,3,3,,,,,153.1358771,,,,,,,,,,,,,,,,153.1088723,153.1358771,153.1358771,153.1358771,168.2638591,0,15.1250234,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,"India's Chandrayaan-3 Mission: India successfully landed its spacecraft on the Moon's south pole, making it the fourth country to achieve this feat.",,,,,,,0,4,4,2,,,,,168.2892057,,,,,,,,,,,,,,,,168.2641199,168.2892057,168.2892057,168.2892057,171.0649015,1,2.7732956,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0650801,171.0789837,171.0789837,182.0680177,space,10.9756719,None,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,182.1998082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0737502,182.1998082,182.1998082,182.1998082,192.3396038,left,10.1332474,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,192.3838025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.3407703,192.3838025,192.3838025,192.3838025,194.6227977,left,2.2253365,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,194.6629913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.6231517,194.6629913,194.6629913,194.6629913,200.3422868,right,5.6739234,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,200.3847786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.3430775,200.3847786,200.3847786,200.3847786,209.6296411,right,9.2317355,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,209.6752094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6306405,209.6752094,209.6752094,209.6752094,214.4645097,right,4.782624,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,214.5076888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.4652632,214.5076888,214.5076888,214.5076888,220.6670497,right,6.1470483,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,220.7108538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.6678344,220.7108538,220.7108538,220.7108538,228.4701868,right,7.7500337,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,228.5136469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.4710819,228.5136469,228.5136469,228.5136469,236.8067464,right,8.2797747,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,236.8581476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.8076732,236.8581476,236.8581476,236.8581476,240.6750214,left,3.8013925,None,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
