scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0029869000063627027,0.007310100001632236,0.007310100001632236,19.975347300001886,space,19.951643400003377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans have the right to modify the natural environment to suit their needs.,,,,0,0,0,1,,,,,,,,,20.00984050000261,,,,,,,,,19.980352700004005,20.00984050000261,20.00984050000261,20.00984050000261,43.22237140000652,2.0,23.21712259999913,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,1,1,13,,,,,,,,,43.25175550000131,,,,,,,,,43.222932700002275,43.25175550000131,43.25175550000131,43.25175550000131,56.36548240000411,2.0,13.107999100000598,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans were meant to rule over the rest of nature.,,,,0,2,2,11,,,,,,,,,56.40243690000352,,,,,,,,,56.36591100000078,56.40243690000352,56.40243690000352,56.40243690000352,59.69613680000475,2.0,3.3007410999998683,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The balance of nature is very delicate and easily upset.,,,,0,3,3,12,,,,,,,,,59.722883000002184,,,,,,,,,59.6965538000004,59.722883000002184,59.722883000002184,59.722883000002184,103.09672050000518,3.0,43.37559200000396,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
We are approaching the limit of the number of people the Earth can support.,,,,0,4,4,0,,,,,,,,,103.12556790000235,,,,,,,,,103.09711240000615,103.12556790000235,103.12556790000235,103.12556790000235,109.13543500000378,5.0,6.011906299994735,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,5,5,14,,,,,,,,,109.16610010000295,,,,,,,,,109.13578950000374,109.16610010000295,109.16610010000295,109.16610010000295,121.36075900000287,5.0,12.195383300000685,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans are seriously abusing the environment.,,,,0,6,6,4,,,,,,,,,121.38400630000251,,,,,,,,,121.36102320000646,121.38400630000251,121.38400630000251,121.38400630000251,125.25085940000281,4.0,3.865830700000515,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,7,7,9,,,,,,,,,125.27590120000241,,,,,,,,,125.25129820000438,125.27590120000241,125.27590120000241,125.27590120000241,164.7315729000038,2.0,39.455463999998756,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
When humans interfere with nature it often produces disastrous consequences.,,,,0,8,8,2,,,,,,,,,164.75798430000577,,,,,,,,,164.73182500000257,164.75798430000577,164.75798430000577,164.75798430000577,175.68182040000102,4.0,10.925978599996597,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,9,9,8,,,,,,,,,175.7070906000008,,,,,,,,,175.6822519000052,175.7070906000008,175.7070906000008,175.7070906000008,178.89265150000574,4.0,3.1858659999998054,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,10,10,7,,,,,,,,,178.92154650000157,,,,,,,,,178.89302130000578,178.92154650000157,178.92154650000157,178.92154650000157,191.62214070000482,2.0,12.702277099997445,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,11,11,3,,,,,,,,,191.64624690000346,,,,,,,,,191.6224455000047,191.64624690000346,191.64624690000346,191.64624690000346,202.0688295,3.0,10.42332489999535,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Plants and animals have as much right as humans to exist.,,,,0,12,12,6,,,,,,,,,202.09704500000225,,,,,,,,,202.0690853000051,202.09704500000225,202.09704500000225,202.09704500000225,219.7029607000004,4.0,17.608195399996475,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The Earth is like a spaceship with very limited room and resources.,,,,0,13,13,10,,,,,,,,,219.7282303000029,,,,,,,,,219.70323330000247,219.7282303000029,219.7282303000029,219.7282303000029,226.4160572000037,4.0,6.687974400003441,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,14,14,5,,,,,,,,,226.44181329999992,,,,,,,,,226.41639040000155,226.44181329999992,226.44181329999992,226.44181329999992,233.8847975000026,3.0,7.442349700002524,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,Global Economic Slowdown: Concerns are growing about a potential global economic slowdown as major economies like the US and China face economic challenges.,,,,,,,0,0,0,3,,,,,233.92137020000519,,,,,,,,,,,,,,,,233.88837430000422,233.92137020000519,233.92137020000519,233.92137020000519,245.30989500000578,1.0,11.389946200004488,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,"Ukraine-Russia War: The ongoing conflict between Russia and Ukraine continues to impact global geopolitics, energy markets, and food security.",,,,,,,0,1,1,0,,,,,245.33374020000338,,,,,,,,,,,,,,,,245.3106157000002,245.33374020000338,245.33374020000338,245.33374020000338,250.14443640000536,1.0,4.806969899997057,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,"Rise of Renewable Energy: Many countries are investing heavily in renewable energy sources like solar, wind, and hydro power to reduce reliance on fossil fuels and combat climate change.",,,,,,,0,2,2,1,,,,,250.17002240000147,,,,,,,,,,,,,,,,250.14475310000125,250.17002240000147,250.17002240000147,250.17002240000147,255.6965541000027,1.0,5.524329399995622,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
," Global Food Crisis: Several regions are facing food shortages and rising food prices due to factors like climate change, conflicts, and supply chain disruptions.??",,,,,,,0,3,3,4,,,,,255.72103240000433,,,,,,,,,,,,,,,,255.69687630000408,255.72103240000433,255.72103240000433,255.72103240000433,274.07064430000173,1.0,18.34468940000079,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,"India's Chandrayaan-3 Mission: India successfully landed its spacecraft on the Moon's south pole, making it the fourth country to achieve this feat.",,,,,,,0,4,4,2,,,,,274.094603000005,,,,,,,,,,,,,,,,274.07096920000185,274.094603000005,274.094603000005,274.094603000005,279.32458790000237,1.0,5.227064799997606,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.3248657000004,279.3361653000029,279.3361653000029,292.24337039999955,space,12.9038647999987,None,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,292.3944973000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.24846020000405,292.3944973000034,292.3944973000034,292.3944973000034,302.2143259000004,left,9.80865310000081,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,302.2579365000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.215457600003,302.2579365000056,302.2579365000056,302.2579365000056,305.41573410000274,left,3.140689599997131,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,305.4665441000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4170391000007,305.4665441000034,305.4665441000034,305.4665441000034,310.8179794000025,right,5.334277900001325,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,310.8631581000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.818846400005,310.8631581000009,310.8631581000009,310.8631581000009,361.2036817000044,right,50.337232799996855,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,361.2552827000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.2042622000008,361.2552827000036,361.2552827000036,361.2552827000036,363.48880140000256,left,2.2303404999984195,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,363.5347919000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.4895694000006,363.5347919000051,363.5347919000051,363.5347919000051,366.75640060000296,left,3.206599199998891,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,366.7999645000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.757168600001,366.7999645000018,366.7999645000018,366.7999645000018,429.58084690000396,left,62.77196220000042,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,429.6385089000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.5816333000039,429.6385089000032,429.6385089000032,429.6385089000032,457.0756756000046,right,27.42058199999883,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,457.13196820000303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.076575900006,457.13196820000303,457.13196820000303,457.13196820000303,480.30037319999974,right,23.16292030000477,None,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
